kerdes;Source;Target;Type;Weight
5;4954850;8406186;Directed;1.0
5;4954850;5559993;Directed;1.0
5;4954850;1970614;Directed;1.0
5;4954850;7113607;Directed;1.0
5;4999224;5052005;Directed;1.0
5;4999224;9120597;Directed;1.0
5;4999224;6058752;Directed;1.0
11;5014623;1264028;Directed;1.0
5;5014623;5044808;Directed;1.0
5;5014623;6536889;Directed;1.0
5;5044808;6536889;Directed;1.0
5;5081628;4021440;Directed;1.0
5;5103148;9103535;Directed;1.0
5;5103148;3345431;Directed;1.0
5;5103148;2116859;Directed;1.0
11;5332508;6741253;Directed;1.0
5;5339370;5044808;Directed;1.0
5;5339370;7518277;Directed;1.0
5;5362868;7518277;Directed;1.0
5;5362868;6762725;Directed;1.0
5;5362868;7509153;Directed;1.0
5;5362868;4784808;Directed;1.0
5;5376110;3811169;Directed;1.0
5;5463881;8301212;Directed;1.0
5;5463881;2800187;Directed;1.0
11;5497184;9001358;Directed;1.0
11;5497184;4821494;Directed;1.0
11;5497184;9714922;Directed;1.0
11;5497184;7764075;Directed;1.0
5;5497184;5332508;Directed;1.0
11;5497184;2011484;Directed;1.0
5;5528147;8406186;Directed;1.0
5;5559993;2979682;Directed;1.0
11;5695152;5976088;Directed;1.0
5;5695152;2979682;Directed;1.0
5;5710727;5559993;Directed;1.0
5;5710727;7113607;Directed;1.0
11;5747635;2166106;Directed;1.0
11;5747635;6983493;Directed;1.0
11;5747635;8759516;Directed;1.0
5;5747635;4021440;Directed;1.0
11;5747635;3672773;Directed;1.0
5;5747635;1270846;Directed;1.0
11;5747635;9934967;Directed;1.0
5;5747635;5081628;Directed;1.0
5;5747635;9001358;Directed;1.0
5;5747635;7764075;Directed;1.0
5;5771473;4495859;Directed;1.0
5;5771473;1217023;Directed;1.0
5;5792138;7113607;Directed;1.0
5;5792138;1499241;Directed;1.0
5;5792138;9120597;Directed;1.0
5;5868694;1133807;Directed;1.0
5;5868694;3153880;Directed;1.0
5;5887392;4364449;Directed;1.0
11;5921072;7485710;Directed;1.0
11;5921072;2800187;Directed;1.0
5;5921072;5976088;Directed;1.0
11;5932329;3345431;Directed;1.0
5;5932329;6741253;Directed;1.0
11;5932329;5332508;Directed;1.0
5;5932329;3621393;Directed;1.0
5;5932329;9115403;Directed;1.0
5;5976088;7825893;Directed;1.0
5;5976088;3811169;Directed;1.0
5;5976088;4773617;Directed;1.0
5;5976088;1264028;Directed;1.0
11;5976088;6536889;Directed;1.0
11;5976088;5932329;Directed;1.0
5;5988048;7421940;Directed;1.0
5;5988048;7485710;Directed;1.0
5;5988048;4495859;Directed;1.0
5;6058752;5052005;Directed;1.0
5;6058752;9103535;Directed;1.0
5;6075178;2938580;Directed;1.0
5;6075178;2979682;Directed;1.0
5;6154167;8406186;Directed;1.0
5;6154167;5528147;Directed;1.0
11;6319303;3092327;Directed;1.0
5;6319303;5695152;Directed;1.0
11;6319303;1133807;Directed;1.0
5;6319303;2304388;Directed;1.0
5;6319303;2979682;Directed;1.0
11;6319303;3689524;Directed;1.0
5;6319303;6154167;Directed;1.0
11;6319303;2800187;Directed;1.0
5;6319303;7037273;Directed;1.0
11;6441388;2317303;Directed;1.0
5;6441388;6653810;Directed;1.0
5;6459639;3153880;Directed;1.0
5;6459639;1133807;Directed;1.0
5;6459639;2800187;Directed;1.0
5;6496820;5932329;Directed;1.0
5;6496820;3314372;Directed;1.0
11;6536889;5976088;Directed;1.0
5;6536889;5044808;Directed;1.0
5;6536889;4784808;Directed;1.0
5;6536889;6762725;Directed;1.0
5;6536889;7518277;Directed;1.0
11;6629714;5976088;Directed;1.0
5;6633171;8561843;Directed;1.0
5;6633171;1312050;Directed;1.0
11;6653810;7485710;Directed;1.0
5;6653810;5976088;Directed;1.0
5;6656149;1312050;Directed;1.0
5;6656149;8561843;Directed;1.0
5;6679550;6536889;Directed;1.0
5;6741253;5932329;Directed;1.0
5;6762725;6536889;Directed;1.0
5;6762725;5044808;Directed;1.0
5;6762725;7518277;Directed;1.0
5;6762725;4784808;Directed;1.0
5;6812158;4773617;Directed;1.0
5;6812158;3811169;Directed;1.0
5;6833174;6536889;Directed;1.0
5;6934159;7113607;Directed;1.0
5;6934159;1326826;Directed;1.0
5;7114350;1264028;Directed;1.0
5;7114350;4783774;Directed;1.0
5;7168833;9103535;Directed;1.0
5;7168833;2116859;Directed;1.0
11;7252385;7290951;Directed;1.0
5;7252385;3689524;Directed;1.0
5;7287157;3717297;Directed;1.0
5;7287157;4773617;Directed;1.0
5;7287157;3811169;Directed;1.0
11;7287157;1430017;Directed;1.0
11;7287157;5332508;Directed;1.0
5;7421940;7485710;Directed;1.0
11;7485710;5976088;Directed;1.0
5;7485710;4942132;Directed;1.0
5;7485710;5932329;Directed;1.0
5;7485710;2173453;Directed;1.0
