kerdes	Source	Target	Type	Weight
2	5103148	4999224	Directed	1
2	5120855	1326826	Directed	1
2	5120855	9103535	Directed	1
2	5120855	5792138	Directed	1
2	5339370	6536889	Directed	1
8	5362868	1264028	Directed	1
2	5362868	3563274	Directed	1
2	5362868	3692838	Directed	1
2	5376110	1264028	Directed	1
8	5376110	7963910	Directed	1
2	5463881	1133807	Directed	1
2	5463881	3689524	Directed	1
2	5463881	2800187	Directed	1
8	5497184	6741253	Directed	1
8	5497184	4021440	Directed	1
8	5497184	5976088	Directed	1
2	5559993	5792138	Directed	1
8	5695152	2800187	Directed	1
2	5695152	6319303	Directed	1
2	5710727	7113607	Directed	1
2	5710727	8561843	Directed	1
2	5710727	5559993	Directed	1
2	5747635	9001358	Directed	1
8	5747635	2166106	Directed	1
2	5747635	7764075	Directed	1
8	5747635	3672773	Directed	1
8	5747635	8759516	Directed	1
2	5747635	4021440	Directed	1
8	5747635	9934967	Directed	1
2	5747635	1270846	Directed	1
8	5747635	6983493	Directed	1
2	5747635	5081628	Directed	1
2	5771473	2173453	Directed	1
2	5771473	7485710	Directed	1
2	5771473	3189492	Directed	1
2	5790621	5970359	Directed	1
2	5790621	4364449	Directed	1
2	5792138	9120597	Directed	1
2	5868694	8045158	Directed	1
8	5868694	4682392	Directed	1
8	5868694	2589890	Directed	1
2	5868694	2800187	Directed	1
8	5887392	7485710	Directed	1
8	5887392	5976088	Directed	1
2	5887392	2938580	Directed	1
2	5887392	4364449	Directed	1
8	5921072	7485710	Directed	1
2	5921072	5976088	Directed	1
2	5921072	1237955	Directed	1
8	5932329	8561843	Directed	1
2	5932329	7485710	Directed	1
8	5932329	8322898	Directed	1
2	5932329	9281126	Directed	1
8	5932329	4783774	Directed	1
8	5932329	2800187	Directed	1
2	5932329	9115403	Directed	1
2	5932329	2011484	Directed	1
8	5932329	9934967	Directed	1
2	5976088	6706993	Directed	1
2	5976088	4783774	Directed	1
8	5976088	3345431	Directed	1
8	5976088	9281126	Directed	1
2	5976088	1264028	Directed	1
8	5976088	2800187	Directed	1
2	5987345	5710727	Directed	1
2	5988048	4180946	Directed	1
2	5988048	5771473	Directed	1
2	6058752	4999224	Directed	1
2	6075178	2938580	Directed	1
2	6154167	5528147	Directed	1
8	6180955	5976088	Directed	1
2	6180955	7290951	Directed	1
2	6180955	9281126	Directed	1
8	6180955	2800187	Directed	1
2	6180955	5932329	Directed	1
2	6319303	7037273	Directed	1
8	6319303	2800187	Directed	1
8	6319303	3689524	Directed	1
2	6441388	6653810	Directed	1
8	6441388	7518277	Directed	1
2	6496820	4021440	Directed	1
2	6496820	3314372	Directed	1
2	6496820	9032409	Directed	1
2	6496820	6741253	Directed	1
8	6536889	6629714	Directed	1
8	6536889	5332508	Directed	1
8	6536889	5976088	Directed	1
2	6536889	6762725	Directed	1
2	6536889	5044808	Directed	1
2	6536889	7518277	Directed	1
2	6629714	1979703	Directed	1
2	6629714	9864796	Directed	1
8	6629714	5976088	Directed	1
2	6633171	8561843	Directed	1
2	6633171	1312050	Directed	1
2	6653810	5976088	Directed	1
2	6653810	3811169	Directed	1
2	6653810	4577047	Directed	1
8	6653810	7485710	Directed	1
8	6656149	9115403	Directed	1
2	6656149	8561843	Directed	1
8	6656149	9281126	Directed	1
2	6679550	6536889	Directed	1
2	6706993	4783774	Directed	1
2	6741253	2011484	Directed	1
8	6762725	1264028	Directed	1
2	6762725	5044808	Directed	1
2	6762725	4784808	Directed	1
8	6762725	4783774	Directed	1
2	6812158	1264028	Directed	1
2	6812158	4783774	Directed	1
2	6812158	3811169	Directed	1
2	6934159	5710727	Directed	1
2	6934159	2979682	Directed	1
2	6934159	1326826	Directed	1
2	7037273	2116859	Directed	1
2	7037273	1326826	Directed	1
2	7037273	5528147	Directed	1
8	7114350	6180955	Directed	1
2	7114350	4783774	Directed	1
8	7114350	1430017	Directed	1
2	7114350	1264028	Directed	1
